Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,3,clubs,8,clubs,,,South,North,12
2,,,2,clubs,,,South,South,0
3,7,cups,6,spades,,,South,South,0
4,10,clubs,6,clubs,,,South,North,4
5,4,spades,4,cups,,,North,North,0
6,10,cups,4,coins,,,North,North,4
7,7,clubs,3,spades,,,South,South,10
8,5,cups,6,cups,,,South,South,0
9,8,coins,7,spades,,,South,South,2
10,,,4,clubs,,,South,South,0
11,2,coins,5,coins,,,South,South,0
12,9,spades,2,spades,,,South,North,3
13,9,clubs,10,coins,,,North,North,7
14,10,spades,8,spades,,,South,North,6
15,9,cups,5,clubs,,,North,North,3
16,1,coins,5,spades,,,North,North,11
17,8,cups,7,coins,,,North,North,2
18,1,cups,2,cups,,,South,North,11
19,6,coins,1,spades,,,North,North,11
20,3,cups,3,coins,,,North,North,20
